parameter,2.5%,25%,50%,75%,97.5%,mode,mean,sd
4Nem Johnston Atoll to Japan,9.461026673991332,11.597387535860342,12.818165171214064,14.161020570103155,17.15192577671977,12.574009644143318,12.934098207347715,1.9678091779338163
4Nem MHI to Japan,10.25453213697125,12.574009644143318,13.916865043032411,15.442837087224563,18.738936702679606,13.672709515961667,14.075355948847777,2.1736145371230267
4Nem NWHI to Japan,10.437648782274309,12.818165171214064,14.222059451870841,15.809070377830677,19.28828663858878,13.977903924800097,14.403706454933554,2.2633129404542864
4Nem Japan to Johnston Atoll,0.7935054629799182,1.0986998718183483,1.3428553988890923,1.5259720441921503,1.8922053347982666,1.3428553988890923,1.3253575202768948,0.29811839575279175
4Nem MHI to Johnston Atoll,0.9766221082829762,1.2818165171214062,1.4649331624244644,1.7090886894952084,2.1363608618690106,1.4649331624244644,1.5099706753255253,0.3006513072164721
4Nem NWHI to Johnston Atoll,0.8545443447476042,1.2207776353537203,1.4038942806567785,1.5870109259598364,2.0142830983336384,1.4038942806567785,1.3890566168031695,0.30105895422859036
4Nem Japan to MHI,10.193493255203565,12.512970762375634,13.855826161264725,15.32075932368919,18.55582005737655,13.550631752426295,13.98702401194629,2.14761302684477
4Nem Johnston Atoll to MHI,9.705182201062076,11.963620826466459,13.245437343587865,14.649331624244644,17.76231459439663,13.001281816517121,13.370135070299904,2.0492114764582285
4Nem NWHI to MHI,9.94933772813282,12.207776353537202,13.550631752426295,15.01556491485076,18.311664530305805,13.245437343587865,13.714079176651282,2.141808092515239
4Nem Japan to NWHI,11.963620826466459,14.71037050601233,16.297381431972166,18.006470121467373,21.973997436366965,15.93114814136605,16.458761625225495,2.553975559070561
4Nem Johnston Atoll to NWHI,10.925959836415796,13.367515107123237,14.832448269547701,16.358420313739853,19.837636574497957,14.527253860709271,14.967092167923946,2.2779737690302446
4Nem MHI to NWHI,11.292193127021912,13.855826161264725,15.381798205456876,17.0298480131844,20.69218091924556,15.01556491485076,15.517175211255188,2.401614774697122
