"","parameter","2.5%","25%","50%","75%","97.5%","mode","mean","sd"
"1","4Nem Johnston Atoll to Japan",0.238051638893975,0.268571079777818,0.292986632484893,0.311298297015199,0.360129402429347,0.286882744308124,0.293491844080587,0.0330510689089642
"2","4Nem MHI to Japan",0.323506073368736,0.360129402429347,0.378441066959653,0.396752731489959,0.439479948727339,0.378441066959653,0.379535588655555,0.0298424010917568
"3","4Nem NWHI to Japan",0.769089910272844,0.842336568394067,0.891167673808216,0.933894891045596,1.03155710187389,0.885063785631447,0.890929618188368,0.0675096476666494
"4","4Nem Japan to Johnston Atoll",0.0793505462979918,0.091558322651529,0.0976622108282976,0.103766099005066,0.115973875358603,0.091558322651529,0.0961996971823777,0.0116940171869751
"5","4Nem MHI to Johnston Atoll",0.0793505462979918,0.091558322651529,0.0976622108282976,0.103766099005066,0.122077763535372,0.0976622108282976,0.0965805576280783,0.0117460859108899
"6","4Nem NWHI to Johnston Atoll",0.0793505462979918,0.091558322651529,0.0976622108282976,0.103766099005066,0.122077763535372,0.0976622108282976,0.0985642049047316,0.0122501942838535
"7","4Nem Japan to MHI",0.323506073368736,0.360129402429347,0.378441066959653,0.396752731489959,0.439479948727339,0.378441066959653,0.380419509228178,0.0300618906318482
"8","4Nem Johnston Atoll to MHI",0.225843862540438,0.26246719160105,0.280778856131356,0.299090520661661,0.34792162607581,0.274674967954587,0.280981349257219,0.031638789253828
"9","4Nem NWHI to MHI",0.799609351156687,0.878959897454679,0.921687114692059,0.964414331929439,1.06207654275774,0.921687114692059,0.924085353165503,0.0667346898301041
"10","4Nem Japan to NWHI",0.201428309833364,0.21973997436367,0.231947750717207,0.250259415247513,0.274674967954587,0.231947750717207,0.235347081939052,0.0205844703619144
"11","4Nem Johnston Atoll to NWHI",0.158701092595984,0.177012757126289,0.195324421656595,0.207532198010132,0.238051638893975,0.189220533479827,0.194319250838091,0.0223060392914636
"12","4Nem MHI to NWHI",0.195324421656595,0.21973997436367,0.231947750717207,0.244155527070744,0.274674967954587,0.231947750717207,0.233514861565055,0.0208826572366912
